name,address,city,state,zip,capacity,lng,lat
"No Place Like Home of Columbus, LLC*",5599 Chatterton Rd,Columbus,OH,43232,117,-82.84635743,39.91353523
Enchanted Care Kids Campus - Gahanna,4571 Morse Rd,Gahanna,OH,43230,104,-82.87131731,40.05561525
Kiddie Kare*,4085 Venture Place,Groveport,OH,43125,52,-82.88567889,39.87632295
Tender Years Learning Center,1344 S Ohio Ave,Columbus,OH,43206,23,-82.97237592,39.93734844
Linworth Children's Center,7070 Bent Tree Blvd,Columbus,OH,43235,157,-83.07842981,40.10093623
Complete Child Care Center*,1692-1704 Schrock Rd,Columbus,OH,43229,65,-82.97064311,40.10601056
Little Dreamers Big Believers,1347 West Fifth Ave,Columbus,OH,43212,111,-83.04229502,39.98865254
"Hugs & Love Learning Center, LLC*",2740 Eastland Mall,Columbus,OH,43232,43,-82.88694507,39.91872406
Southside Learning and Development Ctr- Lincoln Park*,1700 South 20th Street,Columbus,OH,43207,59,-82.97658601,39.9292491
Brightside Academy Early Care and Education*,1977 Cleveland Ave,Columbus,OH,43211,157,-82.97158042,40.00702141
Battelle Discovery Center (Bright Horizons),1199 Perry St,Columbus,OH,43201,152,-83.01903466,39.98526629
Cambridge Daycare Center*,795 E Hudson St.,Columbus,OH,43211,19,-82.98924712,40.01459605
Primrose School of Dublin,6415 Post Rd,Dublin,OH,43016,182,-83.16130737,40.10683609
Kinder Care Learning Center*,6477 Centennial Drive,Reynoldsburg,OH,43068,132,-82.82575229,39.9198002
Shining Stars Child Care*,491 LANCASTER AVE,Reynoldsburg,OH,43068,41,-82.80995502,39.972593
"Star Box Learning Center, LLC*",2625 Bethel Road,Columbus,OH,43220,43,-83.08808889,40.06466601
American Child Care Center*,1672 East Dublin Granville Rd,Columbus,OH,43229,64,-82.9737484,40.08739999
The Goddard School of Reynoldsburg,40 Chris Perry Lane,Columbus,OH,43213,144,-82.82930636,39.98157465
Kings Kids Learning Center*,4001 East Livingston Ave,Columbus,OH,43227,69,-82.88949837,39.94542998
"Connected Pathways Early Learning Center, LLC*",4374 Cleveland Ave,Columbus,OH,43224,59,-82.95305014,40.05835718
Kids Kingdom Child Care and Learning Center*,970 Oakland Park Avenue,Columbus,OH,43224,65,-82.98827182,40.03253253
Leaping Learners Early Educational Center*,5330 Cemetery Road,Hilliard,OH,43026,43,-83.15869268,40.03012051
Hugs & Love Too Learning Center LLC*,51 S Murray Hill Rd,Columbus,OH,43228,67,-83.12926656,39.95135128
Chase Back-up Child Care Polaris,1111 Polaris Parkway,Columbus,OH,43240,152,-82.9912969,40.14461193
Five Star Kidz Learning Center LLC*,1000 Parsons Ave,Columbus,OH,43206,35,-82.98297536,39.94338392
Worthington Learning Center*,7878 Worthington-Galena Rd,Worthington,OH,43085,111,-82.9829226,40.12310856
Nikou Learning Center*,1440 Hempwood Dr,Columbus,OH,43229,95,-82.97886847,40.08438521
Playtime Preschool*,1030 Alum Creek Dr,Columbus,OH,43209,144,-82.94512718,39.94791987
Iqra Learning Center*,1611 Woodland Ave,Columbus,OH,43219,96,-82.95451358,40.00156254
Kare-A-Lot Children's Center-Riverside Drive*,3164 Riverside Drive,Columbus,OH,43221,62,-83.09117311,40.01779075
Northwest Christian Child Care,5707 Olentangy River Road,Columbus,OH,43235,249,-83.03911332,40.07722005
"Oakland Park Day Care, Inc*",1430 Oakland Park Ave,Columbus,OH,43224,82,-82.9751441,40.03190943
Explore and Discover Academy*,3879 S HIgh St,Columbus,OH,43207,40,-83.00070461,39.88296732
Our Lady of Bethlehem Infant Toddler Program,4567 Olentangy River Road,Columbus,OH,43214,20,-83.03385894,40.05425424
Great Beginnings Academy*,2345 Demorest Road,Grove City,OH,43123,97,-83.10834257,39.90444468
The Goddard School,5351 New Albany Road,New Albany,OH,43054,140,-82.82330345,40.08981293
"Columbus Daycare Center, LLC*",3389-A Westerville Rd,Columbus,OH,43224,74,-82.95252471,40.03788697
Noor Daycare*,6725 Karl Road,Columbus,OH,43229,42,-82.97470593,40.10430898
Old School Learning Academy LLC*,1075 E Johnstown Rd,Gahanna,OH,43230,78,-82.86166457,40.04298905
Riverside Education Center*,3366 Olentangy River Road,Columbus,OH,43202,69,-83.02778452,40.02745412
North Branch YMCA*,1640 Sandalwood Place,Columbus,OH,43229,100,-82.97440458,40.07694207
"A & B Child Care and Learning Center, LLC*",4818 Indianola Ave,Columbus,OH,43214,40,-83.00054926,40.06442059
Parker's Learning Center*,2040 E Dublin Granville Rd,Columbus,OH,43229,40,-82.96331012,40.08692822
Start Fresh Learning Academy*,1149 Parsons Ave,Columbus,OH,43206,34,-82.98337763,39.94016733
ABC Learning Center*,5730 Kathy Run Lane,Columbus,OH,43229,74,-82.95368046,40.08705953
Run the Race Club*,880 S Wayne Ave,Columbus,OH,43204,40,-83.06282455,39.93759868
4 the Luv of Children*,2001 Morse Road Fountain Square,Columbus,OH,43229,100,-82.9657445,40.05983934
Little Treasures Learning Academy*,2274 Margaret Ave,Columbus,OH,43219,50,-82.94373403,39.9849151
Fresh Start Learning Academy II*,3500 East Broad Street,Columbus,OH,43213,56,-82.9077118,39.97271273
Brightside Academy Early Care and Education*,660 Harrisburg Pike,Columbus,OH,43223,124,-83.03665956,39.94446252
Twinkle Star Child Care Center*,2280 Stelzer Road,Columbus,OH,43219,89,-82.9114005,40.0196546
Capital Royal Child Care & Learning*,1288 Brice Road,Reynoldsburg,OH,43068,90,-82.82874658,39.95394614
Parents Choice Learning Center*,4523 Cleveland Ave,Columbus,OH,43231,37,-82.95295234,40.06157255
Kids Zone Learning Center*,1516 North Cassady,Columbus,OH,43219,56,-82.92995984,40.00153919
Learning Tree Preschool*,7751 East Main St,Reynoldsburg,OH,43068,81,-82.79108529,39.95549962
Romake Bilingual Child Care*,1357 Brice Road,Reynoldsburg,OH,43068,30,-82.82896817,39.95313071
"Excellence Learning Center, LLC*",3675 Sullivant Ave,Columbus,OH,43228,92,-83.09676939,39.9425284
Little Miracles Early Development Center*,4445 Reinbeau Dr.,Columbus,OH,43232,90,-82.8809782,39.90641985
A Child's Place Learning Center*,1616 Brice Road,Reynoldsburg,OH,43068,33,-82.82938062,39.94719145
Goddard School in Grove City,2585 London-Groveport Road,Grove City,OH,43123,153,-83.07427067,39.83911
"Waiss Learning Center, LLC.*",2200 East Dublin Granville Road,Columbus,OH,43229,60,-82.9591539,40.0867457
Precious Moments Early Learning Academy*,2646 West Broad St,Columbus,OH,43204,16,-83.07106288,39.9551938
"Helpful Hands Children's Center, Inc.*",6833 Flags Center Dr,Columbus,OH,43229,98,-82.95129972,40.10947062
My Second Home Early Learning School*,3777 S High St,Columbus,OH,43207,100,-82.99994817,39.88480312
ABC Academy Day Care Center*,900 Beechwood Rd,Columbus,OH,43227,90,-82.89417526,39.95596524
"Lima Academy Learning Center, LLC*",4121 West Broad St.,Columbus,OH,43228,61,-83.11196627,39.95294687
"Waggoner Academy Learning Center, LLC*",968 North Waggoner Rd,Blacklick,OH,43004,90,-82.79087411,40.00300381
"Rainbow Child Care, Too*",5599 Hilliard Rome Office Park,Hilliard,OH,43026,92,-83.15444376,39.99278029
Amazing Kidz Learning Academy*,5011 Chatterton Rd,Columbus,OH,43232,94,-82.86155,39.91559084
Milo Learning Center*,1989 Zettler Center Drive,Columbus,OH,43223,46,-83.05030344,39.93005044
Hearts & Hands Childcare Center*,1814 Parsons Ave,Columbus,OH,43207,13,-82.98426377,39.92626811
Jelly Bean Junction*,3480 Snouffer Rd,Columbus,OH,43235,142,-83.08222364,40.10437075
Jelly Bean Junction*,173 South Yearling Road,Columbus,OH,43213,78,-82.88503162,39.9712559
HSD Academy Learning Center*,1485 East Livingston Ave,Columbus,OH,43205,42,-82.95810045,39.94908649
Success Kidz North LLC*,2149 Cleveland Ave,Columbus,OH,43211,83,-82.96943962,40.01051516
New Dimensions Child Care Center*,2899 East Dublin-Granville Rd,Columbus,OH,43231,29,-82.93992602,40.08255653
Little Giants Learning Center,126 Pinewood Dr,Whitehall,OH,43213,48,-82.88639824,39.97275312
Rose Child Care and Learning Center*,3823-B Sullivant Ave,Columbus,OH,43228,41,-83.10038607,39.94233561
Tutor Time Child Care/Learning Center,5893 Preserve Blvd,New Albany,OH,43054,116,-82.86061701,40.07125836
The Gardner School,6145 Emerald Parkway,Dublin,OH,43016,172,-83.14187217,40.07910808
Romake Bilingual Preschool*,1371 Brice Rd,Reynoldsburg,OH,43068,40,-82.82899601,39.95283996
"Little Dreamers Big Believers, LLC",1077 North High St,Columbus,OH,43201,54,-83.00499738,39.98402175
Paige's Playhouse Child Care & Learning Center*,141 South State St.,Westerville,OH,43081,60,-82.93038264,40.12239539
Kidz Planet/Moms Choice Childcare Center*,6011 Cleveland Ave,Columbus,OH,43231,46,-82.9504223,40.09490887
Kings & Queens Learning Center*,684 New York Ave,Columbus,OH,43201,49,-82.98732718,39.98745776
"Northland Tutoring Center, Ltd*",1752 Huy Road,Columbus,OH,43224,81,-82.96626346,40.03530507
Ecole Maison Enrichment Center*,4635 Trueman Blvd. ÿSuite 150,Hilliard,OH,43026,105,-83.12428977,40.04731636
Aminata's Day Care*,5125 W. Broad St.,Columbus,OH,43228,61,-83.1373866,39.95177589
Unitee Child Care Center*,2121 Joyce Ave,Columbus,OH,43219,41,-82.9622783,40.01075267
Sunshyne Early Learning Academy*,1713 Brice Rd,Reynoldsburg,OH,43068,44,-82.82973996,39.94491254
The Gathering Place Academy*,3550 East Deshler Ave,Columbus,OH,43227,63,-82.89839253,39.93680407
Kingdom Kids Day Care & Learning Center*,2645 Fairwood Ave.,Columbus,OH,43207,49,-82.95701554,39.91141153
Loving Hands Learning Center*,3314 Noe Bixby Road,Columbus,OH,43232,40,-82.86534352,39.90740502
New Albany Montessori School,6436 Harlem Rd,New Albany,OH,43054,97,-82.83697751,40.09550347
Nationwide Children's Hospital Child Care Center*,255 East Main St,Columbus,OH,43215,60,-82.99253513,39.95692514
Hilltop Preschool*,2473 West Broad St,Columbus,OH,43204,38,-83.06647962,39.95532256
Brightside Academy Early Care and Education*,3525 Cleveland Ave,Columbus,OH,43224,158,-82.96165689,40.03957262
A Colorful World Learning Center*,407 Stelzer Road,Columbus,OH,43219,67,-82.91323492,39.98013636
The Sunshine House*,3860 Hoover Road,Grove City,OH,43123,100,-83.06925625,39.88448355
Kiddie Academy of Reynoldsburg*,6411 East Main St,Reynoldsburg,OH,43068,233,-82.82645551,39.95482184
Agape Enrichment Academy and Learning Center*,4519 Cemetery Road,Hilliard,OH,43026,96,-83.13683091,40.03198178
Kinder Care Learning Center*,1145 Norton Road,Galloway,OH,43119,100,-83.14418185,39.92868527
Olentangy Church Child Care,3660 Olentangy River Rd.,Columbus,OH,43214,35,-83.03182609,40.0347223
New Beginnings Christian Daycare Center,492 Williams Road,Columbus,OH,43207,122,-82.9828983,39.89132735
"Mother's Helper, Inc.*",2140 East Fifth Avenue,Columbus,OH,43219,90,-82.94705259,39.98603731
Darby Kids Christian Childcare*,5443 Norton Road,Grove City,OH,43123,78,-83.18507796,39.85466388
"Happy Feet Daycare, Inc*",1415 E Livingston Ave,Columbus,OH,43205,42,-82.95981701,39.94917
Bright Future Learning Academy*,1302 W Mound St,Columbus,OH,43223,47,-83.03294369,39.94664947
Precious Jewels Early Learning Center*,3650 Sunbury Road,Columbus,OH,43219,108,-82.93267362,40.03438668
Perfect Learning Academy,1730 Lockbourne Rd,Columbus,OH,43207,31,-82.96478026,39.92995207
ABC Smarties Learning Center,2650 Courtright Rd,Columbus,OH,43232,24,-82.89681814,39.91779711
